curve,tag,updates_million,value
PIRL lineage to mixedHJB 15M,Loss/HJB,5.5900000,0.891820657
PIRL lineage to mixedHJB 15M,Loss/HJB,5.6100000,0.823845041
PIRL lineage to mixedHJB 15M,Loss/HJB,5.6300000,0.855113947
PIRL lineage to mixedHJB 15M,Loss/HJB,5.6500000,0.776202273
PIRL lineage to mixedHJB 15M,Loss/HJB,5.6700000,0.775295985
PIRL lineage to mixedHJB 15M,Loss/HJB,5.6900000,0.699546802
PIRL lineage to mixedHJB 15M,Loss/HJB,5.7100000,0.636576295
PIRL lineage to mixedHJB 15M,Loss/HJB,5.7300000,0.63354007
PIRL lineage to mixedHJB 15M,Loss/HJB,5.7500000,0.651023269
PIRL lineage to mixedHJB 15M,Loss/HJB,5.7700000,0.621194208
PIRL lineage to mixedHJB 15M,Loss/HJB,5.7900000,0.660936546
PIRL lineage to mixedHJB 15M,Loss/HJB,5.8100000,0.666755033
PIRL lineage to mixedHJB 15M,Loss/HJB,5.8300000,0.681069422
PIRL lineage to mixedHJB 15M,Loss/HJB,5.8500000,0.626735234
PIRL lineage to mixedHJB 15M,Loss/HJB,5.8700000,0.62476548
PIRL lineage to mixedHJB 15M,Loss/HJB,5.8900000,0.621218872
PIRL lineage to mixedHJB 15M,Loss/HJB,5.9100000,0.590735322
PIRL lineage to mixedHJB 15M,Loss/HJB,5.9300000,0.593182474
PIRL lineage to mixedHJB 15M,Loss/HJB,5.9500000,0.639689738
PIRL lineage to mixedHJB 15M,Loss/HJB,5.9700000,0.644155282
PIRL lineage to mixedHJB 15M,Loss/HJB,5.9900000,0.637249225
PIRL lineage to mixedHJB 15M,Loss/HJB,6.0100000,0.633570278
PIRL lineage to mixedHJB 15M,Loss/HJB,6.0300000,0.678958249
PIRL lineage to mixedHJB 15M,Loss/HJB,6.0500000,0.625524873
PIRL lineage to mixedHJB 15M,Loss/HJB,6.0700000,0.615570027
PIRL lineage to mixedHJB 15M,Loss/HJB,6.0900000,0.567289448
PIRL lineage to mixedHJB 15M,Loss/HJB,6.1100000,0.61822232
PIRL lineage to mixedHJB 15M,Loss/HJB,6.1300000,0.538160056
PIRL lineage to mixedHJB 15M,Loss/HJB,6.1500000,0.503489095
PIRL lineage to mixedHJB 15M,Loss/HJB,6.1700000,0.534993464
PIRL lineage to mixedHJB 15M,Loss/HJB,6.1900000,0.711321437
PIRL lineage to mixedHJB 15M,Loss/HJB,6.2100000,0.733340752
PIRL lineage to mixedHJB 15M,Loss/HJB,6.2300000,0.795008749
PIRL lineage to mixedHJB 15M,Loss/HJB,6.2500000,0.837926519
PIRL lineage to mixedHJB 15M,Loss/HJB,6.2700000,0.876213157
PIRL lineage to mixedHJB 15M,Loss/HJB,6.2900000,0.864251864
PIRL lineage to mixedHJB 15M,Loss/HJB,6.3100000,0.820963967
PIRL lineage to mixedHJB 15M,Loss/HJB,6.3300000,0.930919206
PIRL lineage to mixedHJB 15M,Loss/HJB,6.3500000,0.905914724
PIRL lineage to mixedHJB 15M,Loss/HJB,6.3700000,0.81956389
PIRL lineage to mixedHJB 15M,Loss/HJB,6.3900000,1.08531027
PIRL lineage to mixedHJB 15M,Loss/HJB,6.4100000,1.08817691
PIRL lineage to mixedHJB 15M,Loss/HJB,6.4300000,0.97969116
PIRL lineage to mixedHJB 15M,Loss/HJB,6.4500000,1.02000531
PIRL lineage to mixedHJB 15M,Loss/HJB,6.4700000,1.11475867
PIRL lineage to mixedHJB 15M,Loss/HJB,6.4900000,0.708154714
PIRL lineage to mixedHJB 15M,Loss/HJB,6.5100000,0.731527042
PIRL lineage to mixedHJB 15M,Loss/HJB,6.5300000,0.724627423
PIRL lineage to mixedHJB 15M,Loss/HJB,6.5500000,0.709458804
PIRL lineage to mixedHJB 15M,Loss/HJB,6.5700000,0.578620112
PIRL lineage to mixedHJB 15M,Loss/HJB,6.5900000,0.543842602
PIRL lineage to mixedHJB 15M,Loss/HJB,6.6100000,0.467706668
PIRL lineage to mixedHJB 15M,Loss/HJB,6.6300000,0.409947246
PIRL lineage to mixedHJB 15M,Loss/HJB,6.6500000,0.391238403
PIRL lineage to mixedHJB 15M,Loss/HJB,6.6700000,0.435857117
PIRL lineage to mixedHJB 15M,Loss/HJB,6.6900000,0.47284534
PIRL lineage to mixedHJB 15M,Loss/HJB,6.7100000,0.496261597
PIRL lineage to mixedHJB 15M,Loss/HJB,6.7300000,0.501006132
PIRL lineage to mixedHJB 15M,Loss/HJB,6.7500000,0.511909533
PIRL lineage to mixedHJB 15M,Loss/HJB,6.7700000,0.501507711
PIRL lineage to mixedHJB 15M,Loss/HJB,6.7900000,0.493944114
PIRL lineage to mixedHJB 15M,Loss/HJB,6.8100000,0.584397393
PIRL lineage to mixedHJB 15M,Loss/HJB,6.8300000,0.586885613
PIRL lineage to mixedHJB 15M,Loss/HJB,6.8500000,0.627602333
PIRL lineage to mixedHJB 15M,Loss/HJB,6.8700000,0.677042359
PIRL lineage to mixedHJB 15M,Loss/HJB,6.8900000,0.654634464
PIRL lineage to mixedHJB 15M,Loss/HJB,6.9100000,0.551095718
PIRL lineage to mixedHJB 15M,Loss/HJB,6.9300000,0.563983566
PIRL lineage to mixedHJB 15M,Loss/HJB,6.9500000,0.561136168
PIRL lineage to mixedHJB 15M,Loss/HJB,6.9700000,0.543597096
PIRL lineage to mixedHJB 15M,Loss/HJB,6.9900000,0.565357095
PIRL lineage to mixedHJB 15M,Loss/HJB,7.0100000,0.581716478
PIRL lineage to mixedHJB 15M,Loss/HJB,7.0300000,0.573708081
PIRL lineage to mixedHJB 15M,Loss/HJB,7.0500000,0.536706007
PIRL lineage to mixedHJB 15M,Loss/HJB,7.0700000,0.520141232
PIRL lineage to mixedHJB 15M,Loss/HJB,7.0900000,0.544280064
PIRL lineage to mixedHJB 15M,Loss/HJB,7.1100000,0.510506725
PIRL lineage to mixedHJB 15M,Loss/HJB,7.1300000,0.535955894
PIRL lineage to mixedHJB 15M,Loss/HJB,7.1500000,0.547393715
PIRL lineage to mixedHJB 15M,Loss/HJB,7.1700000,0.581738555
PIRL lineage to mixedHJB 15M,Loss/HJB,7.1900000,0.551761633
PIRL lineage to mixedHJB 15M,Loss/HJB,7.2100000,0.584727794
PIRL lineage to mixedHJB 15M,Loss/HJB,7.2300000,0.571996337
PIRL lineage to mixedHJB 15M,Loss/HJB,7.2500000,0.543279296
PIRL lineage to mixedHJB 15M,Loss/HJB,7.2700000,0.458251756
PIRL lineage to mixedHJB 15M,Loss/HJB,7.2900000,0.46264751
PIRL lineage to mixedHJB 15M,Loss/HJB,7.3100000,0.487361395
